Translator,GIS Field Name,Places Tag Name,Add To Places,Alternate GIS Names
buildings,ADMIN_TYPE,nps:admin_type,TRUE,"[""ADMINTYPE"", ""BLDGADMINTYPE"", ""BUILDING_ADMIN_TYPE""]"
buildings,BUILDING_FCODE,nps:building_fcode,TRUE,"[""BUILDING_FCODE"", ""BLDGFCODE"", ""BLDG_FCODE"", ""FCODE"", ""FACILITYCODE"", ""FACILITY_CODE"", ""BUILDING_F""]"
buildings,BUILDING_ID,nps:building_id,TRUE,"[""BUILDINGID"", ""BUILDING_I""]"
buildings,COMMON_NAME,name,TRUE,"[""COMMONNAME"", ""NAME"", ""COMMON_NAM""]"
buildings,FEDERAL_ENTITY_TYPE,nps:federal_entity_type,TRUE,"[""FEDERALENTITYTYPE"", ""FEDERAL_EN""]"
buildings,POLYGON_NOTES,note,TRUE,"[""POLYGON_NOTES"", ""NOTES"", ""POLYGON_NO""]"
generic,ALTNAME,alt_name,TRUE,"[""ALT_NAME"", ""ALTERNATENAME"", ""ALTERNAME_NAME"", ""ALTNAMES"", ""ALT_NAMES"", ""ALTERNATENAMES"", ""ALTERNAME_NAMES""]"
generic,ASSETID,nps:asset_id,TRUE,"[""ASSET_ID"", ""FMSS_ASSET_ID""]"
generic,CREATEDATE,nps:create_date,TRUE,"[""CREATE_DATE"", ""CREATED_DATE""]"
generic,CREATEUSER,nps:create_user,TRUE,"[""CREATE_USER"", ""CREATED_USER""]"
generic,DISTRIBUTE,nps:distribute,TRUE,"[""DISTRIBUTION"", ""PUBLICLY_DISTRIBUTE"", ""PUBLICLYDISTRIBUTE""]"
generic,EDITDATE,nps:edit_date,TRUE,"[""EDIT_DATE"", ""LAST_EDIT_DATE"", ""LAST_EDITED_DATE""]"
generic,EDITUSER,nps:edit_user,TRUE,"[""EDIT_USER"", ""LAST_EDIT_USER"", ""LAST_EDITED_USER""]"
generic,FCATEGORY,nps:feature_category,TRUE,"[""CATEGORY"", ""F_CATEGORY"", ""FEATURECATEGORY"", ""FEATURE_CATEGORY""]"
generic,FNOTES,nps:feature_note,TRUE,"[""F_NOTES"", ""F_NOTE"", ""FEATURE_NOTE"", ""FEATURE_NOTES"", ""FNOTE"", ""FEATURENOTE"", ""FEATURENOTES""]"
generic,FEATUREID,nps:feature_id,TRUE,"[""FEATURE_ID""]"
generic,GEOMETRYID,nps:source_system_key_value,TRUE,"[""GEOMETRY_ID"", ""GLOBALID"", ""OBJECTID"", ""FID"", ""OID""]"
generic,GROUPCODE,nps:group_code,TRUE,"[""GROUP_CODE"", ""ADMIN_UNIT_CODE""]"
generic,ISEXTANT,nps:is_extant,TRUE,"[""IS_EXTANT""]"
generic,INPLACES,nps:in_places,TRUE,"[""IN_PLACES"", ""PLACES"", ""PLACESYES""]"
generic,ISSENSITIVE,nps:is_sensitive,TRUE,"[""IS_SENSITIVE"", ""ISSENSITIV""]"
generic,LOCATIONID,nps:location_id,TRUE,"[""LOCATION_ID"", ""FMSSID"", ""FMSS_ID"", ""FMSS_LOCATION_ID""]"
generic,MAPMETHOD,nps:map_method,TRUE,"[""MAP_METHOD""]"
generic,MAPSOURCE,source,TRUE,"[""MAP_SOURCE""]"
generic,NAME,name,TRUE,
generic,NOTES,note,TRUE,"[""GIS_NOTES"", ""NOTE"", ""GIS_NOTE"", ""REMARKS"", ""COMMENTS""]"
generic,REGIONCODE,nps:region_code,TRUE,"[""REGION_CODE""]"
generic,RESTRICTION,nps:restriction,TRUE,"[""RESTRICT"", ""RESTRICTIO"", ""RESTRICT_STATUS"", ""RESTRICTION_STATUS"", ""RESTRICTSTATUS"", ""RESTRICTIONSTATUS""]"
generic,SHORTNAME,short_name,TRUE,"[""SHORT_NAME""]"
generic,SOURCEDATE,nps:source_date,TRUE,"[""SOURCE_DATE"", ""SRCEDATE""]"
generic,SRCESCALE,nps:source_scale,TRUE,"[""SOURCESCALE"", ""SOURCE_SCALE""]"
generic,UNITCODE,nps:unit_code,TRUE,"[""UNIT_CODE""]"
generic,UNITNAME,nps:unit_name,TRUE,"[""UNIT_NAME""]"
generic,UNITTYPE,nps:unit_type,TRUE,"[""UNIT_TYPE""]"
generic,XYERROR,nps:xy_error,TRUE,"[""XY_ERROR"", ""HORIZONTALERROR"", ""HORIZONTAL_ERROR"", ""HERROR""]"
generic,ZERROR,nps:z_error,TRUE,"[""Z_ERROR"", ""VERTICALERROR"", ""VERTICAL_ERROR"", ""VERROR""]"
parkinglots,LOTALTNAME,alt_name,TRUE,"[""ALTNAME"", ""ALT_NAME"", ""ALTERNATENAME"", ""ALTERNAME_NAME"", ""LOT_ALTNAME"", ""LOT_ALT_NAME"", ""LOTALTERNATENAME"", ""LOT_ALTERNAMENAME"", ""LOT_ALTERNAME_NAME"", ""ALTNAMES"", ""ALT_NAMES"", ""ALTERNATENAMES"", ""ALTERNAME_NAMES"", ""LOTALTNAMES"", ""LOT_ALTNAMES"", ""LOT_ALT_NAMES"", ""LOTALTERNATENAMES"", ""LOT_ALTERNAMENAMES"", ""LOT_ALTERNAME_NAMES""]"
parkinglots,LOTFEATTYPE,nps:parkinglot_feature_type,TRUE,"[""FEATTYPE"", ""FEAT_TYPE"", ""LOT_FEAT_TYPE"", ""FEATURETYPE"", ""FEATURE_TYPE"", ""LOT_FEATURE_TYPE"", ""LOTFEATTYP""]"
parkinglots,LOTLABEL,name,TRUE,"[""LABEL"", ""LOT_LABEL"", ""NAME"", ""LOTNAME"", ""LOT_NAME""]"
parkinglots,LOTNAME,official_name,TRUE,"[""NAME"", ""LOT_NAME""]"
parkinglots,LOTTYPE,nps:parkinglot_type,TRUE,"[""TYPE"", ""LOT_TYPE""]"
poi,POIALTNAME,alt_name,TRUE,"[""ALTNAME"", ""ALT_NAME"", ""ALTERNATENAME"", ""ALTERNAME_NAME"", ""POI_ALTNAME"", ""POI_ALT_NAME"", ""POIALTERNATENAME"", ""POI_ALTERNAMENAME"", ""POI_ALTERNAME_NAME"", ""ALTNAMES"", ""ALT_NAMES"", ""ALTERNATENAMES"", ""ALTERNAME_NAMES"", ""POIALTNAMES"", ""POI_ALTNAMES"", ""POI_ALT_NAMES"", ""POIALTERNATENAMES"", ""POI_ALTERNAMENAMES"", ""POI_ALTERNAME_NAMES""]"
poi,POIDESC,nps:poi_description,TRUE,"[""POI_DESC"", ""DESCRIPTION"", ""POI_DESCRIPTION""]"
poi,POIFEATTYPE,nps:poi_feature_type,TRUE,"[""POI_FEAT_TYPE"", ""POI_FEATURE_TYPE"", ""POIFEATURETYPE"", ""FEAT_TYPE"", ""FEATURE_TYPE"", ""FEATURETYPE"", ""POIFEATTYP""]"
poi,POILABEL,name,TRUE,"[""POI_LABEL"", ""LABEL"", ""POINAME"", ""POI_NAME"", ""NAME""]"
poi,POINAME,official_name,TRUE,"[""POI_NAME"", ""NAME""]"
poi,POITYPE,nps:poi_type,TRUE,"[""POI_TYPE"", ""TYPE""]"
roads,MAINTAINER,nps:road_maintainer,TRUE,"[""RDMAINTAINER"", ""ROADMAINTAINER"", ""RD_MAINTAINER"", ""ROAD_MAINTAINER"", ""PRIMARYROADMAINTAINER"", ""PRIMARY_ROAD_MAINTAINER""]"
roads,RDALTNAME,alt_name,TRUE,"[""ALTNAME"", ""ALT_NAME"", ""ALTERNATENAME"", ""ALTERNAME_NAME"", ""RD_ALTNAME"", ""RD_ALT_NAME"", ""RDALTERNATENAME"", ""RD_ALTERNAMENAME"", ""RD_ALTERNAME_NAME"", ""ROADALTNAME"", ""ROAD_ALTNAME"", ""ROAD_ALT_NAME"", ""ROADALTERNATENAME"", ""ROAD_ALTERNAMENAME"", ""ROAD_ALTERNAME_NAME"", ""ALTNAMES"", ""ALT_NAMES"", ""ALTERNATENAMES"", ""ALTERNAME_NAMES"", ""RDALTNAMES"", ""RD_ALTNAMES"", ""RD_ALT_NAMES"", ""RDALTERNATENAMES"", ""RD_ALTERNAMENAMES"", ""RD_ALTERNAME_NAMES"",  ""ROADALTNAMES"", ""ROAD_ALTNAMES"", ""ROAD_ALT_NAMES"", ""ROADALTERNATENAMES"", ""ROAD_ALTERNAMENAMES"", ""ROAD_ALTERNAME_NAMES""]"
roads,RDCLASS,nps:road_class,TRUE,"[""CLASS"", ""ROADCLASS"", ""RD_CLASS"", ""ROAD_CLASS"", ""ADMINISTRATIVE_ROAD_CLASS""]"
roads,RDLABEL,name,TRUE,"[""LABEL"", ""ROADLABEL"", ""RD_LABEL"", ""ROAD_LABEL"", ""RDNAME"", ""NAME"", ""ROADNAME"", ""RD_NAME"", ""ROAD_NAME""]"
roads,RDLANES,lanes,TRUE,"[""LANES"", ""ROADLANES"", ""RD_LANES"", ""ROAD_LANES"", ""NUMBEROFLANES"", ""NUMBER_OF_LANES""]"
roads,RDNAME,official_name,TRUE,"[""NAME"", ""ROADNAME"", ""RD_NAME"", ""ROAD_NAME""]"
roads,RDONEWAY,oneway,TRUE,"[""ONEWAY"", ""ONE_WAY"", ""ROADONEWAY"", ""RD_ONEWAY"", ""ROAD_ONEWAY"", ""ROAD_ONE_WAY""]"
roads,RDSTATUS,nps:road_status,TRUE,"[""STATUS"", ""ROADSTATUS"", ""RD_STATUS"", ""ROAD_STATUS""]"
roads,RDSURFACE,surface,TRUE,"[""SURFACE"", ""ROADSURFACE"", ""RD_SURFACE"", ""ROAD_SURFACE""]"
roads,ROUTEID,nps:route_id,TRUE,"[""ROUTE"", ""ROUTE_ID"", ""FHWA_NPS_ROUTE_ID""]"
roads,RTENUMBER,nps:route_number,TRUE,"[""RTE_NUMBER"", ""ROUTENUMBER"", ""ROUTE_NUMBER""]"
trails,TRLALTNAME,alt_name,TRUE,"[""ALTNAME"", ""ALT_NAME"", ""ALTERNATENAME"", ""ALTERNAME_NAME"", ""TRL_ALTNAME"", ""TRL_ALT_NAME"", ""TRLALTERNATENAME"", ""TRL_ALTERNAMENAME"", ""TRL_ALTERNAME_NAME"", ""TRAILALTNAME"", ""TRAIL_ALTNAME"", ""TRAIL_ALT_NAME"", ""TRAILALTERNATENAME"", ""TRAIL_ALTERNAMENAME"", ""TRAIL_ALTERNAME_NAME"", ""ALTNAMES"", ""ALT_NAMES"", ""ALTERNATENAMES"", ""ALTERNAME_NAMES"", ""TRLALTNAMES"", ""TRL_ALTNAMES"", ""TRL_ALT_NAMES"", ""TRLALTERNATENAMES"", ""TRL_ALTERNAMENAMES"", ""TRL_ALTERNAME_NAMES"", ""TRAILALTNAMES"", ""TRAIL_ALTNAMES"", ""TRAIL_ALT_NAMES"", ""TRAILALTERNATENAMES"", ""TRAIL_ALTERNAMENAMES"", ""TRAIL_ALTERNAME_NAMES""]"
trails,TRLCLASS,nps:trail_class,TRUE,"[""CLASS"", ""TRAILCLASS"", ""TRL_CLASS"", ""TRAIL_CLASS""]"
trails,TRLDESC,nps:trail_description,TRUE,"[""TRL_DESC"", ""TRAIL_DESC"", ""TRAILDESC"", ""DESCRIPTION"", ""TRAIL_DESCRIPTION""]"
trails,TRLFEATTYPE,nps:trail_feat_type,TRUE,"[""FEATTYPE"", ""FEAT_TYPE"", ""FEATURETYPE"", ""FEATURE_TYPE"", ""TRL_FEATTYPE"", ""TRL_FEAT_TYPE"", ""TRAILFEATURETYPE"", ""TRAIL_FEATURE_TYPE"", ""TRLFEATTYP""]"
trails,TRLISADMIN,nps:trail_is_admin,TRUE,"[""ISADMIN"", ""TRAILISADMIN"", ""TRL_ISADMIN"", ""TRAIL_ISADMIN"", ""ADMIN"", ""ADMINISTRATIVE""]"
trails,TRLLABEL,name,TRUE,"[""LABEL"", ""TRAILLABEL"", ""TRL_LABEL"", ""TRAIL_LABEL"", ""TRLNAME"", ""NAME"", ""TRAILNAME"", ""TRL_NAME"", ""TRAIL_NAME""]"
trails,TRLNAME,official_name,TRUE,"[""NAME"", ""TRAILNAME"", ""TRL_NAME"", ""TRAIL_NAME""]"
trails,TRLSTATUS,nps:trail_status,TRUE,"[""STATUS"", ""TRAILSTATUS"", ""TRL_STATUS"", ""TRAIL_STATUS""]"
trails,TRLSURFACE,surface,TRUE,"[""SURFACE"", ""TRAILSURFACE"", ""TRL_SURFACE"", ""TRAIL_SURFACE""]"
trails,TRLTRACK,nps:trail_track,TRUE,"[""TRACK"", ""TRAILTRACK"", ""TRL_TRACK"", ""TRAIL_TRACK""]"
trails,TRLTYPE,nps:trail_type,TRUE,"[""TYPE"", ""TRAILTYPE"", ""TRL_TYPE"", ""TRAIL_TYPE""]"
trails,TRLUSE,nps:trail_uses,TRUE,"[""USE"", ""ALLOWEDUSE"", ""ALLOWED_USE"", ""TRAILUSE"", ""TRL_USE"", ""TRAIL_USE"", ""USES"", ""ALLOWEDUSES"", ""ALLOWED_USES"", ""TRAILUSES"", ""TRLUSES"", ""TRL_USES"", ""TRAIL_USES""]"
trails,WHLENGTH,nps:trail_wheel_length,TRUE,"[""WH_LENGTH"", ""WHEEL_LENGTH""]"
trails,WHLENUOM,nps:trail_wheel_length_uom,TRUE,"[""WH_LEN_UOM"", ""WH_LENGTH_UOM"", ""WHEEL_LENGTH_UOM""]"
